entry_time,exit_time,side,entry,exit,pnl,bars,reason
2024-04-10 10:35:00,2024-04-10 10:36:00,1,2349.855,2346.855,-3.2,1,sl
2024-04-11 21:31:00,2024-04-11 21:42:00,1,2386.875,2387.825,0.7499999999998181,11,trail
2024-04-12 12:04:00,2024-04-12 12:52:00,-1,2389.365,2369.458,19.7069999999997,48,reverse
2024-04-14 18:00:00,2024-04-14 18:01:00,1,2362.535,2364.535,1.8,1,trail
2024-04-14 21:13:00,2024-04-14 21:14:00,-1,2348.795,2351.795,-3.2,1,sl
2024-04-15 09:00:00,2024-04-15 09:01:00,1,2360.915,2357.915,-3.2,1,sl
2024-04-16 10:21:00,2024-04-16 10:24:00,-1,2365.815,2364.965,0.6499999999999091,3,trail
2024-04-26 10:10:00,2024-04-26 10:15:00,-1,2338.945,2341.945,-3.2,5,sl
2024-04-28 21:00:00,2024-04-28 21:01:00,-1,2327.905,2325.905,1.8,1,trail
2024-06-12 14:00:00,2024-06-12 14:01:00,-1,2330.095,2328.095,1.8,1,trail
2024-06-12 14:35:00,2024-06-12 14:57:00,-1,2327.315,2324.115,3.0000000000002727,22,reverse
2024-06-18 08:30:00,2024-06-18 08:48:00,1,2318.145,2320.145,1.8,18,trail
2024-06-23 18:00:00,2024-06-23 18:01:00,-1,2318.385,2321.385,-3.2,1,sl
2024-07-03 10:00:00,2024-07-03 10:02:00,1,2360.105,2360.815,0.5100000000000364,2,trail
2024-07-05 08:44:00,2024-07-05 08:49:00,1,2372.825,2369.825,-3.2,5,sl
2024-07-15 12:41:00,2024-07-15 12:43:00,1,2437.185,2438.128,0.743000000000211,2,trail
2024-07-25 11:10:00,2024-07-25 11:20:00,1,2368.305,2365.305,-3.2,10,sl
2024-08-01 08:30:00,2024-08-01 08:40:00,1,2448.625,2450.625,1.8,10,trail
2024-08-05 08:14:00,2024-08-05 08:18:00,-1,2386.458,2385.625,0.6330000000000837,4,trail
2024-08-05 09:37:00,2024-08-05 09:39:00,1,2390.595,2392.595,1.8,2,trail
2024-08-06 09:05:00,2024-08-06 09:10:00,-1,2390.628,2393.628,-3.2,5,sl
2024-08-16 08:47:00,2024-08-16 09:13:00,1,2477.215,2486.265,8.849999999999728,26,reverse
2024-08-21 10:00:00,2024-08-21 10:01:00,-1,2496.755,2495.198,1.3570000000002438,1,trail
2024-09-26 09:02:00,2024-09-26 09:06:00,-1,2673.598,2671.775,1.6229999999998654,4,trail
2024-09-30 10:01:00,2024-09-30 10:04:00,-1,2632.165,2630.818,1.1469999999997527,3,trail
2024-10-10 09:04:00,2024-10-10 09:06:00,1,2626.758,2623.758,-3.2,2,sl
2024-10-17 08:30:00,2024-10-17 08:32:00,-1,2675.348,2674.414,0.7339999999997417,2,trail
2024-11-06 01:57:00,2024-11-06 02:01:00,-1,2706.945,2705.475,1.2700000000002547,4,trail
2024-11-25 00:31:00,2024-11-25 00:33:00,-1,2668.018,2666.018,1.8,2,trail
2024-12-02 06:34:00,2024-12-02 06:36:00,1,2643.425,2644.545,0.9199999999998909,2,trail
2024-12-06 08:31:00,2024-12-06 08:32:00,-1,2632.364,2635.364,-3.2,1,sl
2024-12-18 14:00:00,2024-12-18 14:01:00,-1,2632.448,2630.448,1.8,1,trail
2024-12-18 14:30:00,2024-12-18 14:31:00,-1,2617.665,2620.665,-3.2,1,sl
2025-01-29 14:51:00,2025-01-29 14:56:00,1,2756.385,2753.385,-3.2,5,sl
2025-02-20 10:24:00,2025-02-20 10:31:00,1,2937.848,2934.848,-3.2,7,sl
2025-03-10 07:28:00,2025-03-10 07:47:00,1,2906.308,2903.958,-2.5499999999999092,19,reverse
2025-04-02 20:44:00,2025-04-02 20:48:00,-1,3146.455,3149.455,-3.2,4,sl
2025-04-03 10:01:00,2025-04-03 10:42:00,1,3093.348,3119.095,25.546999999999844,41,reverse
2025-04-04 08:24:00,2025-04-04 08:27:00,-1,3093.098,3092.458,0.43999999999987266,3,trail
2025-04-04 08:32:00,2025-04-04 08:33:00,-1,3092.715,3091.765,0.7500000000002729,1,trail
2025-04-04 10:29:00,2025-04-04 10:34:00,-1,3047.398,3050.398,-3.2,5,sl
2025-04-06 18:51:00,2025-04-06 18:52:00,-1,3004.995,3003.505,1.2899999999997818,1,trail
2025-04-06 19:12:00,2025-04-06 19:14:00,-1,3007.465,3005.465,1.8,2,trail
2025-04-07 10:52:00,2025-04-07 10:53:00,-1,2997.235,3000.235,-3.2,1,sl
2025-04-07 12:03:00,2025-04-07 12:12:00,-1,2980.335,2978.335,1.8,9,trail
2025-04-07 13:28:00,2025-04-07 13:34:00,-1,2963.505,2961.505,1.8,6,trail
2025-04-07 18:02:00,2025-04-07 18:03:00,1,2986.125,2983.125,-3.2,1,sl
2025-04-08 05:01:00,2025-04-08 05:04:00,-1,3003.155,3006.155,-3.2,3,sl
2025-04-09 00:08:00,2025-04-09 00:21:00,1,3007.495,3009.255,1.5600000000002183,13,trail
2025-04-09 15:41:00,2025-04-09 15:45:00,1,3095.605,3097.355,1.55,4,trail
2025-04-09 23:31:00,2025-04-09 23:33:00,1,3128.075,3129.019,0.74399999999996,2,trail
2025-04-10 21:02:00,2025-04-10 21:03:00,1,3211.415,3208.415,-3.2,1,sl
2025-04-11 10:37:00,2025-04-11 10:39:00,-1,3225.335,3223.919,1.2160000000001674,2,trail
2025-04-14 04:02:00,2025-04-14 04:04:00,-1,3223.655,3222.805,0.6500000000003638,2,trail
2025-04-14 09:09:00,2025-04-14 09:11:00,-1,3202.175,3200.175,1.8,2,trail
2025-04-14 09:32:00,2025-04-14 09:34:00,-1,3195.785,3198.785,-3.2,2,sl
