entry_time,exit_time,direction,entry,exit,pnl,bars
2025-12-05 08:13,2025-12-05 08:43,LONG,4227.265,4231.975,4.51,30
2025-12-05 08:53,2025-12-05 09:02,LONG,4234.455,4233.405,-1.25,9
2025-12-05 09:04,2025-12-05 09:06,LONG,4235.465,4233.475,-2.19,2
2025-12-05 09:09,2025-12-05 09:18,LONG,4236.195,4233.975,-2.42,9
2025-12-05 09:42,2025-12-05 10:02,LONG,4232.578,4239.815,7.037,20
2025-12-05 10:15,2025-12-05 10:47,LONG,4239.675,4250.435,10.56,32
2025-12-07 19:05,2025-12-07 19:07,SHORT,4199.625,4202.885,-3.46,2
2025-12-07 19:19,2025-12-07 19:25,SHORT,4203.375,4207.085,-3.91,6
2025-12-07 19:53,2025-12-07 19:54,SHORT,4208.485,4209.145,-0.86,1
2025-12-07 20:01,2025-12-07 20:16,SHORT,4203.485,4206.685,-3.4,15
2025-12-07 20:18,2025-12-07 20:19,SHORT,4204.615,4206.815,-2.4,1
2025-12-07 20:32,2025-12-07 21:04,SHORT,4206.985,4201.645,5.14,32
2025-12-07 21:05,2025-12-07 21:14,SHORT,4200.155,4201.015,-1.06,9
2025-12-07 21:16,2025-12-07 21:18,SHORT,4199.225,4201.865,-2.84,2
2025-12-07 22:09,2025-12-07 22:25,LONG,4209.115,4210.325,1.01,16
2025-12-07 22:34,2025-12-07 22:36,LONG,4210.545,4208.195,-2.55,2
2025-12-07 22:55,2025-12-07 23:21,LONG,4209.505,4209.005,-0.7,26
2025-12-07 23:26,2025-12-07 23:28,LONG,4209.945,4209.775,-0.37,2
2025-12-07 23:32,2025-12-07 23:42,LONG,4210.975,4210.735,-0.44,10
2025-12-08 00:17,2025-12-08 00:24,SHORT,4208.185,4208.175,-0.19,7
2025-12-08 00:25,2025-12-08 00:31,SHORT,4206.545,4208.205,-1.86,6
2025-12-08 00:53,2025-12-08 01:08,LONG,4215.445,4213.495,-2.15,15
2025-12-08 01:23,2025-12-08 01:42,LONG,4217.375,4215.345,-2.23,19
2025-12-08 01:49,2025-12-08 01:50,LONG,4216.975,4216.325,-0.85,1
2025-12-08 01:56,2025-12-08 02:01,LONG,4216.785,4215.455,-1.53,5
2025-12-08 02:31,2025-12-08 02:32,SHORT,4213.845,4215.115,-1.47,1
2025-12-08 02:39,2025-12-08 03:05,SHORT,4212.095,4210.415,1.48,26
2025-12-08 03:28,2025-12-08 03:42,SHORT,4211.585,4208.735,2.65,14
2025-12-08 03:57,2025-12-08 04:13,SHORT,4207.925,4210.195,-2.47,16
2025-12-08 04:23,2025-12-08 04:26,SHORT,4206.735,4209.385,-2.85,3
2025-12-08 04:37,2025-12-08 04:51,SHORT,4207.655,4210.075,-2.62,14
2025-12-08 04:59,2025-12-08 05:07,SHORT,4207.448,4209.765,-2.517,8
2025-12-08 05:14,2025-12-08 05:27,SHORT,4208.885,4209.575,-0.89,13
2025-12-08 05:28,2025-12-08 05:39,SHORT,4207.498,4207.345,-0.047,11
2025-12-08 05:46,2025-12-08 05:57,SHORT,4206.125,4206.215,-0.29,11
2025-12-08 05:58,2025-12-08 06:11,SHORT,4204.015,4203.385,0.43,13
2025-12-08 07:04,2025-12-08 07:10,LONG,4212.215,4210.495,-1.92,6
2025-12-08 07:13,2025-12-08 07:19,LONG,4211.605,4210.995,-0.81,6
2025-12-08 07:29,2025-12-08 07:46,LONG,4212.155,4211.155,-1.2,17
2025-12-08 07:48,2025-12-08 07:50,LONG,4212.665,4211.645,-1.22,2
2025-12-08 07:51,2025-12-08 07:57,LONG,4212.345,4212.205,-0.34,6
2025-12-08 07:59,2025-12-08 08:01,LONG,4212.665,4208.345,-4.52,2
2025-12-08 08:17,2025-12-08 08:46,SHORT,4208.255,4205.515,2.54,29
2025-12-08 08:52,2025-12-08 09:05,SHORT,4198.725,4202.155,-3.63,13
2025-12-08 09:59,2025-12-08 10:20,SHORT,4197.145,4186.135,10.81,21
2025-12-08 10:36,2025-12-08 10:39,SHORT,4187.555,4191.855,-4.5,3
2025-12-08 10:40,2025-12-08 11:15,SHORT,4189.535,4183.785,5.55,35
2025-12-08 12:50,2025-12-08 13:05,LONG,4191.515,4192.045,0.33,15
2025-12-08 13:55,2025-12-08 14:18,SHORT,4189.225,4187.055,1.97,23
2025-12-08 14:29,2025-12-08 14:30,SHORT,4185.975,4187.695,-1.92,1
2025-12-08 14:33,2025-12-08 14:35,SHORT,4186.035,4188.295,-2.46,2
2025-12-08 15:04,2025-12-08 15:08,SHORT,4186.115,4186.965,-1.05,4
2025-12-08 15:31,2025-12-08 15:51,LONG,4190.495,4193.005,2.31,20
2025-12-08 16:04,2025-12-08 16:07,LONG,4192.905,4192.035,-1.07,3
2025-12-08 16:21,2025-12-08 16:27,LONG,4191.835,4191.045,-0.99,6
2025-12-08 18:18,2025-12-08 18:36,LONG,4191.555,4191.875,0.12,18
2025-12-08 18:39,2025-12-08 18:50,LONG,4192.805,4193.285,0.28,11
2025-12-08 18:55,2025-12-08 19:09,LONG,4194.015,4193.395,-0.82,14
2025-12-08 19:22,2025-12-08 19:28,LONG,4193.825,4193.065,-0.96,6
2025-12-08 19:55,2025-12-08 20:03,SHORT,4191.615,4194.395,-2.98,8
2025-12-08 20:46,2025-12-08 20:47,LONG,4195.605,4194.085,-1.72,1
2025-12-08 20:51,2025-12-08 21:01,LONG,4195.795,4194.905,-1.09,10
2025-12-08 21:05,2025-12-08 21:07,LONG,4196.148,4195.115,-1.233,2
2025-12-08 21:08,2025-12-08 21:10,LONG,4196.145,4194.745,-1.6,2
2025-12-08 21:46,2025-12-08 21:54,SHORT,4187.995,4189.525,-1.73,8
2025-12-08 22:52,2025-12-08 23:00,LONG,4195.505,4194.295,-1.41,8
2025-12-08 23:13,2025-12-08 23:27,LONG,4194.015,4193.775,-0.44,14
2025-12-08 23:32,2025-12-08 23:35,LONG,4195.255,4193.935,-1.52,3
2025-12-09 00:16,2025-12-09 00:26,SHORT,4184.675,4185.915,-1.44,10
2025-12-09 00:31,2025-12-09 01:18,SHORT,4182.545,4176.285,6.06,47
2025-12-09 01:22,2025-12-09 01:23,SHORT,4174.655,4175.895,-1.44,1
2025-12-09 02:02,2025-12-09 02:15,LONG,4183.215,4182.575,-0.84,13
2025-12-09 02:45,2025-12-09 02:51,SHORT,4179.475,4180.665,-1.39,6
2025-12-09 03:33,2025-12-09 03:35,LONG,4187.448,4185.978,-1.67,2
2025-12-09 03:36,2025-12-09 04:30,LONG,4187.675,4206.945,19.07,54
2025-12-09 04:53,2025-12-09 04:55,LONG,4204.665,4202.745,-2.12,2
2025-12-09 05:02,2025-12-09 05:08,LONG,4204.345,4202.375,-2.17,6
2025-12-09 05:12,2025-12-09 05:26,LONG,4205.515,4205.405,-0.31,14
2025-12-09 05:51,2025-12-09 06:05,LONG,4203.425,4202.685,-0.94,14
2025-12-09 06:07,2025-12-09 06:10,LONG,4204.465,4203.095,-1.57,3
2025-12-09 06:42,2025-12-09 06:55,LONG,4205.085,4205.005,-0.28,13
2025-12-09 07:06,2025-12-09 07:09,LONG,4204.745,4202.635,-2.31,3
2025-12-09 07:43,2025-12-09 07:46,SHORT,4201.845,4202.695,-1.05,3
2025-12-09 08:03,2025-12-09 08:14,LONG,4207.085,4203.755,-3.53,11
2025-12-09 08:19,2025-12-09 08:21,LONG,4206.085,4202.295,-3.99,2
2025-12-09 09:03,2025-12-09 09:30,SHORT,4200.505,4193.385,6.92,27
2025-12-09 10:56,2025-12-09 11:19,LONG,4204.915,4212.905,7.79,23
2025-12-09 11:31,2025-12-09 11:54,LONG,4216.025,4213.945,-2.28,23
2025-12-09 12:50,2025-12-09 13:11,SHORT,4206.365,4204.475,1.69,21
2025-12-09 13:34,2025-12-09 13:44,SHORT,4203.965,4206.415,-2.65,10
2025-12-09 13:45,2025-12-09 13:50,SHORT,4205.545,4206.505,-1.16,5
2025-12-09 13:52,2025-12-09 13:53,SHORT,4205.185,4206.345,-1.36,1
