session,date,year,dt,exit_dt,side,R,rpct,entry,spread,gross,cost,net,Rmult,exit,entry_hour
LON,2018-02-22 00:00:00+00:00,2018,2018-02-22 13:08:00+00:00,2018-02-22 13:54:00+00:00,1,3.25,0.24574972077160573,1324.27,0.345,2.4375,0.435,2.0025,0.6161538461538462,tp,13
NY,2018-02-22 00:00:00+00:00,2018,2018-02-22 17:30:00+00:00,2018-02-22 21:59:00+00:00,1,8.100000000000136,0.6102153438648318,1331.43,0.34,0.2799999999999727,0.43000000000000005,-0.15000000000002733,-0.01851851851852158,time,17
ASIA,2018-02-23 00:00:00+00:00,2018,2018-02-23 07:02:00+00:00,2018-02-23 12:13:00+00:00,-1,4.929999999999836,0.3709605447259093,1326.01,0.33,-4.929999999999836,0.42000000000000004,-5.349999999999836,-1.0851926977687656,sl,7
LON,2018-02-23 00:00:00+00:00,2018,2018-02-23 13:00:00+00:00,2018-02-23 19:59:00+00:00,1,4.910000000000082,0.36965068035801874,1330.74,0.345,-1.759999999999991,0.435,-2.194999999999991,-0.44704684317718013,time,13
ASIA,2018-02-26 00:00:00+00:00,2018,2018-02-26 07:00:00+00:00,2018-02-26 15:59:00+00:00,1,12.740000000000009,0.9546839242480043,1339.81,0.33,-7.4099999999998545,0.42000000000000004,-7.829999999999854,-0.6145996860282456,time,7
LON,2018-02-26 00:00:00+00:00,2018,2018-02-26 13:00:00+00:00,2018-02-26 14:10:00+00:00,-1,3.3099999999999454,0.24717917655082186,1337.13,0.345,2.482499999999959,0.435,2.047499999999959,0.6185800604229585,tp,13
NY,2018-02-26 00:00:00+00:00,2018,2018-02-26 17:01:00+00:00,2018-02-26 22:00:00+00:00,-1,7.529999999999973,0.5644945309438378,1330.15,0.34,-3.189999999999827,0.43000000000000005,-3.6199999999998274,-0.4807436918990492,time,17
LON,2018-02-27 00:00:00+00:00,2018,2018-02-27 13:00:00+00:00,2018-02-27 13:07:00+00:00,-1,2.7899999999999636,0.209261859915908,1331.75,0.345,2.0924999999999727,0.435,1.6574999999999727,0.5940860215053743,tp,13
NY,2018-02-27 00:00:00+00:00,2018,2018-02-27 17:11:00+00:00,2018-02-27 22:00:00+00:00,-1,17.529999999999973,1.3238384404835766,1314.62,0.34,-3.520000000000209,0.43000000000000005,-3.9500000000002093,-0.22532800912722278,time,17
ASIA,2018-02-28 00:00:00+00:00,2018,2018-02-28 07:06:00+00:00,2018-02-28 14:32:00+00:00,1,3.4200000000000728,0.25960120683355603,1319.01,0.33,2.5650000000000546,0.42000000000000004,2.1450000000000546,0.627192982456143,tp,7
LON,2018-02-28 00:00:00+00:00,2018,2018-02-28 13:44:00+00:00,2018-02-28 14:32:00+00:00,-1,4.360000000000127,0.33056712505393215,1316.64,0.345,-4.360000000000127,0.435,-4.795000000000127,-1.0997706422018318,sl,13
ASIA,2018-03-01 00:00:00+00:00,2018,2018-03-01 07:01:00+00:00,2018-03-01 10:05:00+00:00,-1,4.3900000000001,0.33374782205472425,1313.51,0.33,3.292500000000075,0.42000000000000004,2.872500000000075,0.6543280182232368,tp,7
LON,2018-03-01 00:00:00+00:00,2018,2018-03-01 13:00:00+00:00,2018-03-01 14:00:00+00:00,-1,5.129999999999882,0.3910850995331817,1305.85,0.345,-5.129999999999882,0.435,-5.564999999999881,-1.0847953216374289,sl,13
NY,2018-03-01 00:00:00+00:00,2018,2018-03-01 19:47:00+00:00,2018-03-01 20:34:00+00:00,1,10.059999999999945,0.7696506205690617,1313.04,0.35,7.544999999999959,0.44,7.104999999999959,0.7062624254473159,tp,19
ASIA,2018-03-02 00:00:00+00:00,2018,2018-03-02 11:03:00+00:00,2018-03-02 11:11:00+00:00,1,3.8599999999999,0.2931585206177957,1319.94,0.33,2.894999999999925,0.42000000000000004,2.474999999999925,0.6411917098445568,tp,11
LON,2018-03-02 00:00:00+00:00,2018,2018-03-02 13:57:00+00:00,2018-03-02 19:59:00+00:00,1,8.22999999999979,0.6244341144871591,1324.32,0.345,-1.6199999999998909,0.435,-2.054999999999891,-0.2496962332928242,time,13
ASIA,2018-03-05 00:00:00+00:00,2018,2018-03-05 07:54:00+00:00,2018-03-05 12:29:00+00:00,1,4.630000000000109,0.3492569029260762,1327.2,0.33,-4.630000000000109,0.42000000000000004,-5.050000000000109,-1.0907127429805594,sl,7
LON,2018-03-05 00:00:00+00:00,2018,2018-03-05 13:00:00+00:00,2018-03-05 14:33:00+00:00,-1,4.320000000000164,0.32582592850334496,1323.11,0.345,3.240000000000123,0.435,2.8050000000001227,0.6493055555555594,tp,13
NY,2018-03-05 00:00:00+00:00,2018,2018-03-05 17:12:00+00:00,2018-03-05 21:59:00+00:00,-1,4.110000000000127,0.31101584446635855,1319.39,0.34,-0.4099999999998545,0.43000000000000005,-0.8399999999998545,-0.2043795620437539,time,17
ASIA,2018-03-06 00:00:00+00:00,2018,2018-03-06 07:25:00+00:00,2018-03-06 09:59:00+00:00,-1,3.3199999999999363,0.2510708533207559,1320.53,0.33,-3.3199999999999363,0.42000000000000004,-3.7399999999999363,-1.126506024096388,sl,7
LON,2018-03-06 00:00:00+00:00,2018,2018-03-06 13:00:00+00:00,2018-03-06 15:11:00+00:00,1,7.599999999999909,0.5743483193321167,1328.39,0.345,5.699999999999932,0.435,5.264999999999932,0.6927631578947362,tp,13
ASIA,2018-03-07 00:00:00+00:00,2018,2018-03-07 08:00:00+00:00,2018-03-07 15:59:00+00:00,-1,8.269999999999982,0.6193920645665659,1331.32,0.33,4.329999999999927,0.42000000000000004,3.9099999999999273,0.47279322853687256,time,8
LON,2018-03-07 00:00:00+00:00,2018,2018-03-07 13:15:00+00:00,2018-03-07 15:32:00+00:00,-1,3.3599999999999,0.2521533155196613,1330.46,0.345,2.519999999999925,0.435,2.084999999999925,0.6205357142857104,tp,13
