group,variant,net_2022_23,win_2022_23,n_2022_23,net_2024_25,win_2024_25,n_2024_25,net_2026,net_sep26,sep26_win,net_4y,win_4y,n_4y,trades_kept_pct,n_sep26
family,"stacked 2 levels, $5",-457.33400000000677,31.810418445772843,2342.0,-1222.1190000000202,44.802098235574626,4194.0,-619.909999999985,108.86499999999795,67.36842105263158,-1679.4530000000266,40.1468788249694,6536.0,12.542457446604363,
family,"stacked 2 levels, ATR 1.0x",-5223.838999999993,27.70945917195013,23501.0,-5360.9290000000965,37.07756678467975,24856.0,-971.7599999999823,71.63599999999077,53.49794238683128,-10584.76800000009,32.52476373637736,48357.0,92.79614668687994,
deferred,$5 box / block,-1230.58500000001,29.441971927422117,5842.0,-1951.5390000000375,40.26977475117863,7636.0,-724.5049999999753,123.9429999999982,63.06306306306306,-3182.1240000000475,35.576495028936044,13478.0,25.864021032027786,111.0
deferred,$5 box / defer box_end,-3614.938000000002,34.03207399843834,16649.0,-4177.812000000091,44.18458968469409,19156.0,-861.6949999999777,170.9980000000038,65.21739130434783,-7792.750000000092,39.46376204440721,35805.0,68.70910172516359,207.0
deferred,$5 box / defer box_break,-2357.300000000011,30.272387719777715,10977.0,-3031.7360000000745,41.29945093622413,14206.0,-908.1549999999885,138.77099999999936,60.47904191616767,-5389.036000000086,36.492872175674066,25183.0,48.325689393794015,167.0
deferred,$5 box / defer delay 3,-4816.078000000004,30.0,22540.0,-5228.0720000000365,39.608020009020464,24389.0,-782.2599999999982,90.84799999999088,58.333333333333336,-10044.150000000041,34.993287732532124,46929.0,90.05584233655082,240.0
deferred,ATR 1.0x box / block,-5229.598999999993,27.692242439665776,23577.0,-5379.691000000098,37.0504029832792,24939.0,-981.0399999999812,71.63599999999077,53.49794238683128,-10609.290000000092,32.502679528403,48516.0,93.1012646082401,243.0
deferred,ATR 1.0x box / defer box_end,-5478.569999999992,28.038937335226123,24655.0,-5285.807000000117,37.65820386510042,26390.0,-1150.8099999999758,84.45699999999128,54.800000000000004,-10764.37700000011,33.01204819277108,51045.0,97.9543666404406,250.0
deferred,ATR 1.0x box / defer box_break,-5415.545999999995,27.73012681085074,24367.0,-5275.753000000104,37.234165288620545,26003.0,-1045.8199999999752,74.16299999999069,54.21686746987952,-10691.2990000001,32.63648997419099,50370.0,96.65905471013798,249.0
deferred,ATR 1.0x box / defer delay 3,-5504.85299999999,27.926434923201292,24740.0,-5412.175000000116,37.53535201176515,26519.0,-1065.7899999999784,85.28799999999033,54.980079681274894,-10917.028000000104,32.897637488050876,51259.0,98.36502849686246,251.0
head_to_head,no filter,-11149.088000000094,32.474909328164884,52111.0,-5608.778000000099,36.99477642351721,26993.0,,72.59999999999224,53.333333333333336,,,,,255.0
head_to_head,BLOCK inside box,-3182.1240000000475,35.576495028936044,13478.0,-1951.5390000000375,40.26977475117863,7636.0,,123.9429999999982,63.06306306306306,,,,,111.0
head_to_head,DEFER (box_end),-7792.750000000092,39.46376204440721,35805.0,-4177.812000000091,44.18458968469409,19156.0,,170.9980000000038,65.21739130434783,,,,,207.0
head_to_head,DEFER (box_break),-5389.036000000086,36.492872175674066,25183.0,-3031.7360000000745,41.29945093622413,14206.0,,138.77099999999936,60.47904191616767,,,,,167.0
baseline,(no filter),,,,,,,,72.59999999999224,53.333333333333336,-11149.088000000094,32.474909328164884,52111.0,100.0,255.0
