year,end,n0,wr0,net0,n_blk,wr_blk,net_blk,n1,wr1,net1
2024,2024-09-26,297,30.303030303030305,-64.59999999999937,68,33.82352941176471,-17.65499999999938,198,41.41414141414141,-59.89699999999959
2024,2024-09-25,296,32.0945945945946,-76.36699999999855,63,34.92063492063492,-27.304999999998554,194,40.72164948453608,-84.57199999999993
2024,2024-09-24,280,29.28571428571429,-81.45999999999594,66,30.303030303030305,-30.583999999999097,195,36.92307692307693,-98.27299999999876
2024,2024-09-23,264,29.924242424242426,-72.30500000000012,57,28.07017543859649,-35.94800000000069,186,34.946236559139784,-105.40399999999882
2024,2024-09-20,273,28.93772893772894,-87.6650000000005,59,27.11864406779661,-37.2069999999997,187,34.22459893048128,-104.63999999999797
2024,2024-09-19,267,31.086142322097377,-72.6739999999976,55,30.909090909090907,-26.593999999998683,184,34.78260869565217,-88.40399999999708
2024,2024-09-18,257,28.404669260700388,-77.42899999999727,54,27.77777777777778,-29.01399999999903,179,33.5195530726257,-91.05499999999692
2024,2024-09-17,266,27.44360902255639,-86.81499999999934,54,24.074074074074073,-30.034999999999215,178,33.146067415730336,-69.37599999999983
2024,2024-09-16,263,28.13688212927757,-85.53899999999621,61,27.86885245901639,-25.61199999999844,179,34.63687150837989,-71.04099999999771
2024,2024-09-13,251,31.07569721115538,-72.48899999999705,65,30.76923076923077,-25.70700000000034,178,33.70786516853933,-95.57899999999935
2024,2024-09-12,247,27.530364372469634,-75.1179999999976,62,24.193548387096776,-30.138000000000737,172,31.976744186046513,-96.60699999999898
2024,2024-09-11,255,29.411764705882355,-54.46199999999725,70,28.57142857142857,-25.557000000001153,178,29.775280898876407,-96.03499999999903
2024,2024-09-10,248,29.435483870967744,-43.3489999999998,77,31.16883116883117,-22.791000000000988,181,32.59668508287293,-81.99799999999752
2024,2024-09-09,243,27.572016460905353,-55.3790000000009,70,28.57142857142857,-28.969000000000957,181,30.939226519337016,-79.05299999999963
2024,2024-09-05,242,27.685950413223143,-41.12600000000012,65,24.615384615384617,-23.369999999999894,178,32.58426966292135,-43.573999999998804
2024,2024-09-04,247,30.76923076923077,-50.0090000000022,62,24.193548387096776,-24.927999999999336,172,36.627906976744185,-45.585999999999245
2024,2024-09-03,249,32.53012048192771,-40.15700000000225,57,26.31578947368421,-22.499999999999,171,40.35087719298245,-18.618000000001945
2024,2024-09-02,255,34.11764705882353,-45.58400000000256,52,26.923076923076923,-20.47500000000027,168,38.095238095238095,-49.429000000004265
2024,2024-08-30,260,33.46153846153846,-50.70100000000276,55,29.09090909090909,-17.763999999999662,168,41.07142857142857,-42.67000000000471
2024,2024-08-29,267,29.962546816479403,-67.74900000000062,65,32.30769230769231,-12.368999999999232,178,35.39325842696629,-61.773000000004345
2024,2024-08-28,258,32.945736434108525,-42.68699999999909,62,32.25806451612903,0.4919999999998219,175,34.85714285714286,-60.873000000004154
2024,2024-08-27,250,32.4,-57.26299999999901,57,29.82456140350877,-7.965000000000968,169,37.278106508875744,-52.91500000000479
