entry_time,exit_time,direction,entry,exit,sl,tp,lot,pnl,r_multiple,bars_held,exit_reason
2022-02-14 15:15:00,2022-02-14 17:00:00,LONG,1855.71,1862.21,,,0.1,60.5,0.0,39,REV
2022-02-14 17:00:00,2022-02-14 17:00:00,SHORT,1862.21,1864.71,,,0.1,-29.5,0.0,5,REV
2022-02-14 17:00:00,2022-02-14 18:00:00,LONG,1864.71,1866.71,,,0.1,15.5,0.0,32,REV
2022-02-14 18:00:00,2022-02-14 20:00:00,SHORT,1866.71,1864.21,,,0.1,20.5,0.0,25,REV
2022-02-14 20:00:00,2022-02-14 21:15:00,LONG,1864.21,1868.71,,,0.1,40.5,0.0,31,REV
2022-02-14 21:15:00,2022-02-14 21:45:00,SHORT,1868.71,1870.71,,,0.1,-24.5,0.0,8,REV
2022-02-14 21:45:00,2022-02-14 21:45:00,LONG,1870.71,1868.71,,,0.1,-24.5,0.0,4,REV
2022-02-14 21:45:00,2022-02-14 22:00:00,SHORT,1868.71,1870.21,,,0.1,-19.5,0.0,5,REV
2022-02-14 22:00:00,2022-02-14 23:30:00,LONG,1870.21,1870.71,,,0.1,0.5,0.0,17,REV
2022-02-14 23:30:00,2022-02-15 03:00:00,SHORT,1870.71,1871.71,,,0.1,-14.5,0.0,16,REV
2022-02-15 03:00:00,2022-02-15 03:00:00,LONG,1871.71,1870.71,,,0.1,-14.5,0.0,2,REV
2022-02-15 03:00:00,2022-02-15 04:15:00,SHORT,1870.71,1871.71,,,0.1,-14.5,0.0,6,REV
2022-02-15 04:15:00,2022-02-15 04:30:00,LONG,1871.71,1870.71,,,0.1,-14.5,0.0,2,REV
2022-02-15 04:30:00,2022-02-15 04:30:00,SHORT,1870.71,1871.21,,,0.1,-9.5,0.0,1,REV
2022-02-15 04:30:00,2022-02-15 09:30:00,LONG,1871.21,1877.71,,,0.1,60.5,0.0,45,REV
2022-02-15 09:30:00,2022-02-15 11:45:00,SHORT,1877.71,1857.21,,,0.1,200.5,0.0,61,REV
2022-02-15 11:45:00,2022-02-15 12:00:00,LONG,1857.21,1856.21,,,0.1,-14.5,0.0,12,REV
2022-02-15 12:00:00,2022-02-15 14:30:00,SHORT,1856.21,1848.71,,,0.1,70.5,0.0,57,REV
2022-02-15 14:30:00,2022-02-15 15:15:00,LONG,1848.71,1848.71,,,0.1,-4.5,0.0,20,REV
2022-02-15 15:15:00,2022-02-15 15:30:00,SHORT,1848.71,1849.21,,,0.1,-9.5,0.0,15,REV
2022-02-15 15:30:00,2022-02-15 16:30:00,LONG,1849.21,1852.71,,,0.1,30.5,0.0,37,REV
2022-02-15 16:30:00,2022-02-15 16:45:00,SHORT,1852.71,1851.21,,,0.1,10.5,0.0,19,REV
2022-02-15 16:45:00,2022-02-15 17:00:00,LONG,1851.21,1850.71,,,0.1,-9.5,0.0,13,REV
2022-02-15 17:00:00,2022-02-15 17:15:00,SHORT,1850.71,1851.71,,,0.1,-14.5,0.0,12,REV
2022-02-15 17:15:00,2022-02-15 17:30:00,LONG,1851.71,1849.71,,,0.1,-24.5,0.0,8,REV
2022-02-15 17:30:00,2022-02-15 18:30:00,SHORT,1849.71,1849.71,,,0.1,-4.5,0.0,20,REV
2022-02-15 18:30:00,2022-02-15 21:45:00,LONG,1849.71,1853.71,,,0.1,35.5,0.0,34,REV
2022-02-15 21:45:00,2022-02-15 22:00:00,SHORT,1853.71,1854.71,,,0.1,-14.5,0.0,2,REV
2022-02-15 22:00:00,2022-02-15 22:15:00,LONG,1854.71,1853.71,,,0.1,-14.5,0.0,8,REV
2022-02-15 22:15:00,2022-02-16 04:30:00,SHORT,1853.71,1852.71,,,0.1,5.5,0.0,38,REV
2022-02-16 04:30:00,2022-02-16 04:45:00,LONG,1852.71,1851.71,,,0.1,-14.5,0.0,2,REV
2022-02-16 04:45:00,2022-02-16 05:00:00,SHORT,1851.71,1852.21,,,0.1,-9.5,0.0,1,REV
2022-02-16 05:00:00,2022-02-16 05:30:00,LONG,1852.21,1851.71,,,0.1,-9.5,0.0,1,REV
2022-02-16 05:30:00,2022-02-16 06:30:00,SHORT,1851.71,1852.71,,,0.1,-14.5,0.0,2,REV
2022-02-16 06:30:00,2022-02-16 12:15:00,LONG,1852.71,1855.71,,,0.1,25.5,0.0,46,REV
2022-02-16 12:15:00,2022-02-16 15:15:00,SHORT,1855.71,1854.71,,,0.1,5.5,0.0,32,REV
2022-02-16 15:15:00,2022-02-16 17:30:00,LONG,1854.71,1861.21,,,0.1,60.5,0.0,37,REV
2022-02-16 17:30:00,2022-02-16 18:00:00,SHORT,1861.21,1862.71,,,0.1,-19.5,0.0,7,REV
2022-02-16 18:00:00,2022-02-16 20:45:00,LONG,1862.71,1866.71,,,0.1,35.5,0.0,34,REV
2022-02-16 20:45:00,2022-02-16 21:00:00,SHORT,1866.71,1868.71,,,0.1,-24.5,0.0,8,REV
2022-02-16 21:00:00,2022-02-16 21:30:00,LONG,1868.71,1868.21,,,0.1,-9.5,0.0,15,REV
2022-02-16 21:30:00,2022-02-16 21:45:00,SHORT,1868.21,1870.21,,,0.1,-24.5,0.0,10,REV
2022-02-16 21:45:00,2022-02-16 23:00:00,LONG,1870.21,1869.71,,,0.1,-9.5,0.0,19,REV
2022-02-16 23:00:00,2022-02-17 01:45:00,SHORT,1869.71,1870.71,,,0.1,-14.5,0.0,12,REV
2022-02-17 01:45:00,2022-02-17 03:00:00,LONG,1870.71,1869.21,,,0.1,-19.5,0.0,9,REV
2022-02-17 03:00:00,2022-02-17 05:45:00,SHORT,1869.21,1870.21,,,0.1,-14.5,0.0,18,REV
2022-02-17 05:45:00,2022-02-17 06:30:00,LONG,1870.21,1872.71,,,0.1,20.5,0.0,19,REV
2022-02-17 06:30:00,2022-02-17 06:30:00,SHORT,1872.71,1873.21,,,0.1,-9.5,0.0,1,REV
2022-02-17 06:30:00,2022-02-17 07:00:00,LONG,1873.21,1872.21,,,0.1,-14.5,0.0,10,REV
2022-02-17 07:00:00,2022-02-17 07:15:00,SHORT,1872.21,1873.71,,,0.1,-19.5,0.0,9,REV
2022-02-17 07:15:00,2022-02-17 09:00:00,LONG,1873.71,1874.71,,,0.1,5.5,0.0,28,REV
2022-02-17 09:00:00,2022-02-17 09:00:00,SHORT,1874.71,1875.71,,,0.1,-14.5,0.0,2,REV
2022-02-17 09:00:00,2022-02-17 09:30:00,LONG,1875.71,1874.21,,,0.1,-19.5,0.0,7,REV
2022-02-17 09:30:00,2022-02-17 10:00:00,SHORT,1874.21,1875.71,,,0.1,-19.5,0.0,7,REV
